Step,Link,Average Link Speed,Average Link Travel Time,Average Link Occupancy,Average Running Vehicles,Average Halting Vehicles,Average CO Emission,Average CO2 Emission,Average HC Emission,Average PMx Emission,Average NOx Emission,Average Fuel Consumption
250.0,gneE32,12.373351636162303,26.034621334023818,0.01956432659110655,1.476,0.024,38.56846180340684,2667.4816162784136,0.23712774489110605,0.040773830619560185,1.040653075478807,1.1466447424060657
250.0,gneE33,12.986733761824043,10.736493244593472,0.03824669252960267,2.092,0.0,59.32410376498573,5106.674974705429,0.38878392324254335,0.08173745583409643,2.016025630433551,2.1951393129794092
250.0,gneE34,9.877383699776615,32.682686174694,0.06099768618283622,4.668,1.748,337.48444198468144,11274.819891448453,1.8008615448590115,0.22181787149179413,4.753513854503682,4.846668817112422
250.0,gneE35,12.530935704842879,16.548599023301357,0.01896983465779855,1.444,0.088,36.31969624675496,2366.608141000808,0.21988872207761193,0.03587893666928157,0.9208545385941302,1.0173134599253657
250.0,gneE36,13.117669852094284,10.62777708588987,0.03462299396267537,1.924,0.0,54.78932634851923,4727.921001093795,0.35898750958757447,0.07456606639801984,1.85858287062649,2.032330945316102
250.0,gneE37,10.839824628747829,24.259638232074405,0.04722998389310867,3.608,1.044,210.67916559873768,8744.037380367497,1.1638879643025475,0.16368610602053704,3.6208189606725996,3.758740084122339
250.0,gneE38,12.6224428930923,18.166768543409024,0.014252245169985031,1.08,0.028,25.46512525289855,2088.8957524013576,0.1648245611616659,0.034196247546002485,0.8304784883728137,0.897926000170528
250.0,gneE39,13.160310486417325,10.592622139491892,0.03616075299336897,2.016,0.0,68.3096054593734,5432.370001839308,0.43840884020881626,0.09158001188884428,2.180954283628357,2.3351383600103333
250.0,gneE40,9.828892723746257,35.073421439671755,0.0743626462655808,5.668,2.104,427.8370556226572,14246.022139484166,2.2821851293931745,0.28713340498556866,6.060499340091992,6.123879043177121
250.0,gneE41,12.994006332608297,16.006247062875488,0.012386485588226725,0.94,0.052,19.59022403653341,1734.692557248991,0.1295136286819757,0.02649247036304142,0.6707602357238492,0.7456716109251061
250.0,gneE42,12.902002071280828,10.829852544958506,0.037991199551452526,2.116,0.0,57.69848291623015,4879.620814044992,0.3763937101332465,0.07715256586212182,1.9223425398126137,2.0975407235113375
250.0,gneE44,10.175954231598574,27.236038245687723,0.05806770365994402,4.448,1.584,306.9896760421649,10786.642131485094,1.6506642517661494,0.209769369342371,4.528429782241131,4.6368080009833035
250.0,gneE45,12.203449619385392,12.209438710903111,0.008241099770347185,0.436,0.092,20.017585494071554,981.3233986754841,0.11397978449417678,0.016890981981010886,0.39378508108130394,0.4218343094401586
250.0,gneE45-n,13.889999999999974,9.470122390208823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
